0001;0002;1468333913358;click;conteudo;p;1954;185
0001;0002;1468333913523;click;conteudo;p;1954;185
0001;0002;1468333914010;click;conteudo;p;1954;185
0001;0002;1468333914015;click;conteudo;p;1954;185
0001;0002;1468333914401;click;conteudo;p;1954;185
0001;0002;1468333914428;click;conteudo;p;1954;185
0001;0002;1468333943142;click;conteudo;p;1984;184
0001;0002;1468333944251;click;conteudo;p;1984;184
0001;0002;1468333944260;click;conteudo;p;1984;184
0001;0002;1468333944267;click;conteudo;p;1984;184
0001;0002;1468333957554;click;conteudo;p;1721;185
0001;0002;1468333958413;click;conteudo;p;1721;185
0001;0002;1468333958422;click;conteudo;p;1721;185
0001;0002;1468333958428;click;conteudo;p;1721;185
0001;0002;1468333971028;click;conteudo;div;1717;273
0001;0002;1468333971184;click;conteudo;div;1717;273
0001;0002;1468333972262;click;conteudo;p;1715;291
0001;0002;1468334026042;click;conteudo;p;1839;297
0001;0002;1468334026911;click;conteudo;p;1839;297
0001;0002;1468334026924;click;conteudo;p;1839;297
0001;0002;1468334027056;click;conteudo;p;1839;297
0001;0002;1468334176720;click;conteudo;p;1988;356
0001;0002;1468334467006;click;conteudo;p;1975;344
0001;0002;1468334475909;click;conteudo;p;1975;344
0001;0002;1468334688309;click;conteudo;p;1663;355
0001;0002;1468334717255;click;conteudo;p;1628;304
0001;0002;1468334807351;click;conteudo;p;1796;299
0001;0002;1468334812731;click;conteudo;p;1796;299
0001;0002;1468335103218;click;conteudo;p;1731;293
0001;0002;1468335142034;click;conteudo;p;1906;292
0001;0002;1468335168609;click;conteudo;p;1906;292
0001;0002;1468335187425;click;conteudo;p;1906;292
0001;0002;1468335192516;click;conteudo;p;1906;292
0001;0002;1468335314149;click;conteudo;p;1689;300
0001;0002;1468335321993;click;conteudo;p;1749;347
0001;0002;1468335456614;click;conteudo;p;1860;344
0001;0002;1468335468600;click;conteudo;p;1860;344
0001;0002;1468335513209;click;questionHard;p;1700;330
0001;0002;1468335598125;click;conteudo;h2;1750;180
0001;0002;1468335777877;click;questionHard;html;1883;314
0001;0002;1468335856644;click;conteudo;p;1846;289
0001;0002;1468335859572;click;conteudo;p;1748;223
0001;0002;1468335865684;click;conteudo;p;1610;214
0001;0002;1468335874115;click;conteudo;p;1814;214
0001;0002;1468336254276;click;conteudo;btn;200;100
0001;0002;1468336258498;click;conteudo;btn;200;100
0001;0002;1468336269007;click;questionHard;btn;200;100
0001;0002;1468336279008;click;conteudo;btn;200;100
0001;0002;1468336306293;click;questionHard;btn;200;100
0001;0002;1468336313489;click;conteudo;btn;200;100
0001;0002;1468336318051;click;questionHard;btn;200;100
0001;0002;1468336325360;click;conteudo;btn;200;100
0001;0002;1468336329948;click;questionHard;btn;200;100
0001;0002;1468336335906;click;conteudo;btn;200;100
0001;0002;1468336366090;click;conteudo;btn;200;100
0001;0002;1468336402962;click;questionHard;btn;200;100
0001;0002;1468336422721;click;questionHard;p;1775;343
0001;0002;1468336434777;click;conteudo;btn;200;100
0001;0002;1468336467624;click;questionHard;btn;200;100
0001;0002;1468336531789;click;questionHard;btn;200;100
0001;0002;1468336565801;click;questionHard;btn;200;100
0001;0002;1468336566438;click;conteudo;btn;200;100
0001;0002;1468336567005;click;conteudo;btn;200;100
0001;0002;1468336570004;click;conteudo;btn;200;100
